Team ID 1,College,Team Name
1,#N/A,Team 1
48,"Indian Institute of Management, Calcutta",Team 48
67,"Indian Institute of Technology, Delhi",Team 67
71,"Indian Institute of Management, Calcutta",Team 71
116,"Indian Institute of Management, Kozhikode",Team 116
121,"Institute of Technology and Management, Gwalior",Team 121
124,"Indian Institute of Technology, Kharagpur",Team 124
150,"Indian Institute of Technology, Kanpur",Team 150
154,"Indian Institute of Technology, Roorkee",Team 154
158,"Lady Sri Ram College for women, Delhi",Team 158
160,"Indian Institute of Management, Kozhikode",Team 160
161,RV College of Engineering,Team 161
167,"ABES Engineering College,  Ghaziabad",Team 167
170,"Indian Institute of Technology, Kanpur",Team 170
171,"College of Arts and Crafts, Patna University",Team 171
174,"Indian Institute of Technology, Delhi",Team 174
181,"Indian Institute of Technology, Delhi",Team 181
202,"Indian Institute of Management, Lucknow",Team 202
219,"Mahatma Gandhi Institute of Technology, Hyderabad",Team 219
224,Lucknow University,Team 224
232,"Indian Institute of Technology, Kanpur",Team 232
241,"Indian Institute of Technology, Kanpur",Team 241
243,"Indian Institute of Management, Indore",Team 243
257,"Indian Institute of Technology, Kanpur",Team 257
260,"Indian Institute of Management, Kozhikode",Team 260
271,"Raajdhani Engineering College, Bhubaneshwar",Team 271
275,I.T.S. Engineering College,Team 275
281,"Indian School of Mines, Dhanbad",Team 281
286,LJ Institute Of Engineering & Technoloogy,Team 286
289,Rajlakshmi Engineering College,Team 289
299,"Indian Institute of Technology, Kanpur",Team 299
307,"Delhi College of Arts and Commerce, Delhi",Team 307
313,"G.B Pant Government Engineering College, New Delhi",Team 313
315,"Indian School of Business (ISB), Hyderabad",Team 315
328,"Gandhi Institute of Technology and Management University (GITAM),Vishakhapatnam",Team 328
333,"The Maharaja Sayajirao University, Baroda",Team 333
343,"Netaji Subhash Institute of Technology, Delhi",Team 343
345,"Dayanand Ayurvedic College and Hospital, Jalandhar",Team 345
364,Lucknow University,Team 364
365,APG Shimla University,Team 365
367,"Birla Institute of Technology and Science (BITS), Pilani",Team 367
370,"Amity University, Lucknow",Team 370
374,"Lovely Professional University,Punjab",Team 374
376,Vidyalankar Institute of Technology,Team 376
382,"Indian Institute of Management, Lucknow",Team 382
383,"Campus Law Institute University, Delhi",Team 383
384,Medicaps Group of Institutions,Team 384
385,"Indian Institute of Technology, Guwahati",Team 385
388,"CVR  college of engineering, Hyderabad",Team 388
390,"Government Law College, Mumbai",Team 390
391,"Sir Padampat Singhania University, Udaipur",Team 391
392,"Indian Institute of Management, Rohtak",Team 392
394,"Jesus & Mary College, Delhi",Team 394
395,"Birla Institute of Technology, Ranchi",Team 395
403,DBACER,Team 403
409,"Indian Institute of Technology, Kanpur",Team 409
420,"Indian School of Business (ISB), Hyderabad",Team 420
424,"Indian Institute of Management, Rohtak",Team 424
439,"Indian Institute of Management, Lucknow",Team 439
443,"Sir Padampat Singhania University, Udaipur",Team 443
447,Army Institute of Technology,Team 447
448,"Indian Institute of Management, Rohtak",Team 448
449,"Indian Institute of Management, Rohtak",Team 449
456,"S.P. Jain Institute of Management and Research (SPJIMR), Mumbai",Team 456
461,"Indian Institute of Management, Lucknow",Team 461
464,"Indian Institute of Management, Kozhikode",Team 464
469,"Indian Institute of Management, Kozhikode",Team 469
472,"Symbiosis Society's Law College, Pune",Team 472
478,"Indian Institute of Aeronautical Engineering & Information Technology,Pune",Team 478
484,"Indian Institute of Management, Shillong",Team 484
489,SSR Institute of Management & Research,Team 489
492,"Shri Ram College of Commerce (SRCC), Delhi",Team 492
497,Koneru Lakshmaiha University,Team 497
499,"National Institute of Technology, Raipur",Team 499
502,"Indian Institute of Technology, Delhi",Team 502
509,"Pandit Deendayal Petroleum University, Gandhinagar",Team 509
517,"Narsee Monjee College of commerce and ecnomics, Mumbai",Team 517
518,"Gujarat National Law University, Gandhinagar",Team 518
520,"Indian Institute of Management, Tiruchirapally",Team 520
523,"Maharishi Arvind Institute Of Hotel Management, Jaipur",Team 523
525,"Zakir Husain College of Engineering and Technology, Aligarh",Team 525
528,"Krishna Engineering College, Ghaziabad",Team 528
538,"Indian Institute of Management, Rohtak",Team 538
542,"Indian Institute of Management, Lucknow",Team 542
547,"Indian Institute of Management, Bangalore",Team 547
559,"Chaitanya Bharathi Institute of Technology, Hyderabad",Team 559
562,"Indian Institute of Management, Bangalore",Team 562
563,"Indian Institute of Technology, Kanpur",Team 563
566,Vasavi College of Engineering,Team 566
569,"Delhi technological university, Delhi",Team 569
575,"Hidayatullah National Law University, Raipur",Team 575
576,"Jaipuria Institute of Management, Indore",Team 576
579,"Zakir Husain College of Engineering and Technology, Aligarh",Team 579
582,"Institute of technology ,BHU, Banaras",Team 582
585,"Birla Institute of Technology and Science (BITS), Pilani",Team 585
586,"National Law University, Odisha",Team 586
595,"Easwari Engineering College,Chennai",Team 595
596,"Indian Institute of Technology, Delhi",Team 596
597,"Indian Institute of Management, Tiruchirapally",Team 597
605,"Indian Institute of Technology, Madras",Team 605
623,"Zakir Husain College of Engineering and Technology, Aligarh",Team 623
626,"Sri Sairam Engineering College, Chennai",Team 626
627,"Indian Institute of Management, Ahmedabad",Team 627
635,"Indian Institute of Management, Bangalore",Team 635
638,"Indian Institute of Technology, Kanpur",Team 638
641,"Indian Institute of Technology, Madras",Team 641
642,"Hindustan College of Science and Technology, Mathura",Team 642
651,"Rachana Sansad's Academy of Architecture, Mumbai",Team 651
652,"Chaitanya Bharathi Institute of Technology, Hyderabad",Team 652
659,"Indian Institute of Technology, Mumbai",Team 659
660,"Rachana Sansad's Academy of Architecture, Mumbai",Team 660
664,"Sparta Institute of Technology & Management, Bhopal",Team 664
665,"Indian Institute of Technology, Madras",Team 665
676,"Indian Institute of Technology, Kanpur",Team 676
678,"Indian Institute of Technology, Delhi",Team 678
679,"Indian Institute of Technology, Madras",Team 679
682,"Indian Institute of Management, Rohtak",Team 682
692,"Rachana Sansad's Academy of Architecture, Mumbai",Team 692
695,"Indian Institute of Management, Lucknow",Team 695
700,"Zakir Husain College of Engineering and Technology, Aligarh",Team 700
701,"Management Development Institute (MDI), Gurgaon",Team 701
702,"Indian Institute of Technology, Madras",Team 702
708,"Indian Institute of Management, Rohtak",Team 708
709,"Indian Institute of Management, Rohtak",Team 709
718,"Indian Institute of Technology, Madras",Team 718
721,"Government Law College, Mumbai",Team 721
722,"PSG College of Technology, Coimbatore",Team 722
724,"Indian Institute of Technology, Kharagpur",Team 724
726,"Indian Institute of Technology, Guwahati",Team 726
732,"Indian Institute of Technology, Guwahati",Team 732
735,"Sri Sairam Engineering College, Chennai",Team 735
736,"Indian Institute of Technology, Mumbai",Team 736
748,"Indian Institute of Technology, Roorkee",Team 748
752,"Indian Institute of Technology, Mumbai",Team 752
759,"LLOYD Law College,Greater Noida",Team 759
765,"Punjab Govt. Dental College & Hospital, Amritsar",Team 765
766,"Indian Institute of Technology, Mumbai",Team 766
767,Madras Christian College,Team 767
768,"Chaitanya Bharathi Institute of Technology, Hyderabad",Team 768
769,"Management Development Institute (MDI), Gurgaon",Team 769
770,"MVGR College of Engineering, Vizianagaram",Team 770
773,"Vellore Institute of Technology, Vellore",Team 773
774,"Indian Institute of Technology, Guwahati",Team 774
775,"Chaitanya Bharathi Institute of Technology, Hyderabad",Team 775
776,"Indian Institute of Technology, Madras",Team 776
786,"Mar Athanasius College Of Engineering, Kerala",Team 786
798,"Indian School of Mines, Dhanbad",Team 798
803,"Lakshmi Narain College of Technology & Science, Bhopal",Team 803
815,Sapthagiri College Of Engineering,Team 815
819,"Faculty of Law,Jamia Milla Islamia, Delhi",Team 819
836,Jayawantrao Sawant College of Engineering,Team 836
843,"College of engineering and technology,bhubaneswar",Team 843
845,"Indian Institute of Technology, Madras",Team 845
853,"Indian Institute of Technology, Delhi",Team 853
856,Kalinga Institute of Industrial Technology,Team 856
858,Kalinga Institute of Industrial Technology,Team 858
872,emax institute of engineering and technology,Team 872
881,"Institute of technology ,BHU, Banaras",Team 881
885,"Raj Kumar Goel Institute of Technology, Ghaziabad",Team 885
889,"GMR Institute of Technology, Rajam -Srikakula",Team 889
890,"Osmania University College, Hyderabad",Team 890
897,"Indian Institute of Technology, Madras",Team 897
898,Ponjesly College of Engineering,Team 898
903,"Shri Bhagwan Mahaveer Jain College, Bangalore",Team 903
922,"Faculty of Engineering and Technology , Jamia Millia Islamia",Team 922
933,"National Institute of Technology, Patna",Team 933
934,"Punjab College of Technical Education, Ludhiana",Team 934
938,"Jai Hind College, Mumbai",Team 938
943,"Chaitanya Bharathi Institute of Technology, Hyderabad",Team 943
955,Khalsa College Of Engineering And Technology,Team 955
957,"Sri Sairam Engineering College, Chennai",Team 957
958,Kalinga Institute of Industrial Technology,Team 958
976,"Institute of technology ,BHU, Banaras",Team 976
981,"Christ University Institute of Management (CUIM), Bangalore",Team 981
987,"Indian Institute of Technology, Mumbai",Team 987
1000,"Institute of Engineering & Management, Kolkata",Team 1000
1002,"National Institute of Technology, Raipur",Team 1002
1005,"University Institute of Engineering and Technology, Punjab University",Team 1005
1006,"University Institute of Technology, Rajiv Gandhi Prodyogiki Vishwavidyalaya",Team 1006
1012,"Indian Institute of Management, Indore",Team 1012
1013,"Institute of technology ,BHU, Banaras",Team 1013
1017,Kalinga Institute of Industrial Technology,Team 1017
1018,"Management Development Institute (MDI), Gurgaon",Team 1018
1027,"Government Engineering college, Thrissur",Team 1027
1032,B.V. Bhoomaraddi College of Engineering and Technology,Team 1032
1035,THDC Institute Of Hydropower Engineering & Technology,Team 1035
1036,"Azim Premji University, Bangalore",Team 1036
1045,Vysya College,Team 1045
1053,"Indian Institute of Management, Calcutta",Team 1053
1055,"Dr. Ram Manohar Lohia National Law University, Lucknow",Team 1055
1058,"Indian Institute of Technology, Madras",Team 1058
1060,"Dr. Ram Manohar Lohia National Law University, Lucknow",Team 1060
1063,"Birla Institute of Technology, Ranchi",Team 1063
1065,"Maulana Azad National Institute of Technology, Bhopal",Team 1065
1073,Keshav Memorial Institute of Technology,Team 1073
1075,"Indian Institute of Technology, Madras",Team 1075
1076,Narasaraopeta Engineering College,Team 1076
1077,"Dr. Ram Manohar Lohia National Law University, Lucknow",Team 1077
1082,"Symbiosis  Institute of Business Management (SIBM), Bangalore",Team 1082
1084,Kalinga Institute of Industrial Technology,Team 1084
1089,Jawaharlal Nehru University,Team 1089
1091,"R.V.R & J.C College of Engineering, Guntur",Team 1091
1097,C.Abdul Hakeem College of Engineering and Technology,Team 1097
1100,"ABES Engineering College,  Ghaziabad",Team 1100
1105,Bhavans Vivekananda College,Team 1105
1106,"Indian Institute of Technology, Kharagpur",Team 1106
1108,Kalinga Institute of Industrial Technology,Team 1108
1110,Delhi University,Team 1110
1144,"Indian Institute of Technology, Kanpur",Team 1144
1150,"Poornima Institute of Engineering and Technology,Jaipur",Team 1150
1159,"Sri Venkatesa Perumal College of Engineering & Technology , Puttur???????? 517 583.",Team 1159
1162,"Sreenidhi Institute of Science and Technology, Hyderabad",Team 1162
1165,"SIBM, Bangalore",Team 1165
1169,"Indian Institute of Technology, Mandi",Team 1169
1171,"Sardar Valabhbhai National Institute of Technology, Surat",Team 1171
1174,"Vellore Institute of Technology, Vellore",Team 1174
1200,"Rajeev Gandhi Memorial College Of Engineering & Technology,nandyal",Team 1200
1203,Northern India Engineering College,Team 1203
1213,"Vellore Institute of Technology, Vellore",Team 1213
1219,"Indian Institute of Technology, Patna",Team 1219
1220,"Shri Shikshayatan College, Kolkata",Team 1220
1222,"GMR Institute of Technology, Rajam -Srikakula",Team 1222
1225,"Indian Institute of Technology, Roorkee",Team 1225
1226,Gayatri Vidya Parishad College Of Engineering (AUTONOMOUS),Team 1226
1232,"Graphic Era University, Dehradun",Team 1232
1243,"Indian Institute of Technology, Mumbai",Team 1243
1248,"Graphic Era University, Dehradun",Team 1248
1255,"Indian Institute of Management, Kozhikode",Team 1255
1259,"St.Stephen's College, Delhi",Team 1259
1271,adichunchanagiri institute of technology,Team 1271
1277,"Jesus & Mary College, Delhi",Team 1277
1278,"Indian Institute of Technology, Roorkee",Team 1278
1281,"Bhilai Institute of Technology, Durg",Team 1281
1284,Jadavpur University,Team 1284
1290,"C V Raman College Of Engineering, Bhubaneswar",Team 1290
1291,Karnataka State Open University,Team 1291
1293,"Government Engineering college, Thrissur",Team 1293
1297,Saveetha University,Team 1297
1299,"Banarsidas Chandiwala Institue of Physiotherapy, New Delhi",Team 1299
1302,"S.R.M Engineering College, Chennai",Team 1302
1306,"National Institute of Technology, Calicut",Team 1306
1307,"The Maharaja Sayajirao University, Baroda",Team 1307
1310,"Maharaja Agrasen College, GGSIPU, Delhi",Team 1310
1321,"Miranda House, Delhi",Team 1321
1322,"Graphic Era University, Dehradun",Team 1322
1330,"M S Ramaiah Institute of technology, Bangalore",Team 1330
1334,"Indian Institute of Foreign Trade, Delhi",Team 1334
1335,"Institute of Technology, GGV, Bilaspur",Team 1335
1338,"Rishiraj Institute Of Technology,Indore",Team 1338
1341,"Goa Institute of Management (GIM), Goa",Team 1341
1343,"Indian School of Mines, Dhanbad",Team 1343
1353,"Indian Institute of Technology, Kharagpur",Team 1353
1354,"Shri Ramdeobaba College Of  Engineering And Management, Nagpur",Team 1354
1356,"Indian Institute of Technology, Roorkee",Team 1356
1366,"Indian Institute of Management, Kozhikode",Team 1366
1378,National Institute of Technology Karnataka,Team 1378
1384,"B.K.Birla Institute of Engineering and Technology, Pilani",Team 1384
1389,"Cluster Innovation Centre , Delhi University",Team 1389
1391,"Institute of Technology, GGV, Bilaspur",Team 1391
1395,"School Of Planning and Architecture, New Delhi",Team 1395
1399,"Delhi College of Arts and Commerce, Delhi",Team 1399
1411,HCTM Technical Campus,Team 1411
1417,"Shailesh J.Mehta School of Management (IIT-B), Mumbai",Team 1417
1420,Parala Maharaja Engineering College,Team 1420
1425,"National Institute of Technology, Patna",Team 1425
1429,"National Institute of Technology, Tiruchirapally",Team 1429
1430,"Indian Institute of Management, Rohtak",Team 1430
1437,"Nirma University, Ahmedabad",Team 1437
1442,Jorhat Institute of Science & Technology,Team 1442
1445,"JNTU College of Engineering, Hyderabad",Team 1445
1455,Eastern Academy Of Science And Technology,Team 1455
1458,"University School of Law and Legal Studies, GGSIPU",Team 1458
1465,"Lovely Professional University,Punjab",Team 1465
1467,"Lovely Professional University,Punjab",Team 1467
1477,"Moti Lal Nehru college, Delhi",Team 1477
1484,"Narsee Monjee College of commerce and ecnomics, Mumbai",Team 1484
1485,"Delhi technological university, Delhi",Team 1485
1490,"Indian Institute of Technology, Roorkee",Team 1490
1495,"Indian Institute of Technology, Mumbai",Team 1495
1496,Jaipur Engineering College,Team 1496
1497,"National Institute of Technology, Jalandhar",Team 1497
1513,"Indian School of Mines, Dhanbad",Team 1513
1516,"Amity University, Jaipur",Team 1516
1523,"Netaji Subhash Institute of Technology, Delhi",Team 1523
1525,"Babu Banarasi Das National Institute of Technology and Management, Lucknow",Team 1525
1527,"College of Technology, GBPUAT, Pantnagar",Team 1527
1530,"Indian School of Mines, Dhanbad",Team 1530
1535,"XLRI School of Buisness and Human Resource, Jamshedpur",Team 1535
1546,Kalinga Institute of Industrial Technology,Team 1546
1548,"Technocrats Institute Of Technology , Bhopal",Team 1548
1550,"Ramjas College, Delhi",Team 1550
1562,"St. Josephs college of Engineering, Chennai",Team 1562
1568,Mewar University,Team 1568
1570,"Rajeev Gandhi Memorial College Of Engineering & Technology,nandyal",Team 1570
1571,Arignar anna institute of science and technology,Team 1571
1574,"Indian School of Mines, Dhanbad",Team 1574
1582,"Indian Institute of Technology, Kharagpur",Team 1582
1583,Institute of Aeronautical Engineering,Team 1583
1585,"Yamuna Group of Institution,Sabalpur",Team 1585
1586,Rajiv Gandhi University of Knowledge Technologies,Team 1586
1589,"Indian Institute of Technology, Bhubaneshwar",Team 1589
1594,"Amity University, Lucknow",Team 1594
1609,"IES College of Technology, Bhopal",Team 1609
1610,Tezpur University,Team 1610
1616,Basant Kumar Birla Institute Of Engineering And Technology,Team 1616
1629,"Institute of technology ,BHU, Banaras",Team 1629
1632,"Biyani's Group of Colleges, Jaipur",Team 1632
1633,"Moti Lal Nehru college, Delhi",Team 1633
1642,"Guru Nanak Dev Engineering College, Ludhiana",Team 1642
1645,"Saveetha Engineering College, Chennai",Team 1645
1648,"Dr. M.G.R. Educational and Research Institute, Chennai",Team 1648
1652,"Sreenidhi Institute of Science and Technology, Hyderabad",Team 1652
1660,"NALSAR, Hyderabad",Team 1660
1667,"Raj Kumar Goel Institute of Technology, Ghaziabad",Team 1667
1669,"Bhavans Vivekananda College ,Secunderabad",Team 1669
1671,"Noida Institute of Engineering and Technology, Greater Noida",Team 1671
1681,"Uttar Pradesh Textile Technology Institute,Kanpur",Team 1681
1682,"Armed Forces Medical College, Pune",Team 1682
1688,"National Law University, Jodhpur",Team 1688
1689,"Dayananda Sagar College of Engineering, Bangalore",Team 1689
1695,"Swami Keshvanand Institute of Technology (SKIT), Jaipur",Team 1695
1703,"Nirma University, Ahmedabad",Team 1703
1713,"Indian Institute of Management, Indore",Team 1713
1722,Mahakal Group of institutes,Team 1722
1724,"B.K.Birla Institute of Engineering and Technology, Pilani",Team 1724
1728,"Gandhi Institute For Education & Technology,Odisha",Team 1728
1731,National Institute of Technology Karnataka,Team 1731
1733,"K.R College, Mathura",Team 1733
1736,"Indian Institute of Technology, Mandi",Team 1736
1737,"Shaheed Bhagat Singh State Technical  Campus, Ferozepur",Team 1737
1741,"Birla Institute of Technology, Ranchi",Team 1741
1746,Manohar Lal Mahavidyalaya,Team 1746
1751,"Indira Gandhi Delhi Technical University for Women, Delhi",Team 1751
1752,"Birla Institute of Technology, Ranchi",Team 1752
1754,"University of Petroleum & Energy Studies, Dehradun",Team 1754
1755,"National Institute of Technology, Rourkela",Team 1755
1756,"Vellore Institute of Technology, Vellore",Team 1756
1757,Indraprastha Enginnering College,Team 1757
1761,JRE Group of Institutes,Team 1761
1766,"Acropolis Institute of Technology and Research, Indore",Team 1766
1768,Chanakya National Law University,Team 1768
1770,"XLRI School of Buisness and Human Resource, Jamshedpur",Team 1770
1771,"Indian Institute of Technology, Kharagpur",Team 1771
1775,"Nirma University, Ahmedabad",Team 1775
1777,#N/A,Team 1777
1791,"C V Raman College Of Engineering, Bhubaneswar",Team 1791
1804,"Institute of Management Technology (IMT), Ghaziabad",Team 1804
1807,Yogananda Institute of Technology & Science,Team 1807
1810,"Indian School of Mines, Dhanbad",Team 1810
1827,"Ideal Institute of Technology, Ghaziabad",Team 1827
1831,"Thapar Institute of Engineering and Technlogy, Patiala",Team 1831
1832,Kalinga Institute of Industrial Technology,Team 1832
1833,"NALSAR, Hyderabad",Team 1833
1843,"Sydenham Institute Of Management Studies Research & Entrepreneurship Education(SIMSREE),Mumbai",Team 1843
1844,"Harcourt Butler Technological Institute, Kanpur",Team 1844
1846,Madras Christian College,Team 1846
1855,"Sri Venkateswara Degree & PG College, Anantapur",Team 1855
1871,Andhra University,Team 1871
1877,Xavier Institute of Communications,Team 1877
1878,"Noida International University, IMR",Team 1878
1884,"Indian Institute of Technology, Madras",Team 1884
1886,"Delhi College of Engineering, Delhi",Team 1886
1891,"Rachana Sansad's Academy of Architecture, Mumbai",Team 1891
1892,"BIT Institute of Technology, Hindupur, AP",Team 1892
1895,"Indian Institute of Management, Tiruchirapally",Team 1895
1896,"Indian Institute of Technology, Kanpur",Team 1896
1902,"Park College of Engineering and Technology, Coimbatore",Team 1902
1903,"Sydenham Institute Of Management Studies Research & Entrepreneurship Education(SIMSREE),Mumbai",Team 1903
1904,"AMRITA VISHWA VIDYAPEETHAM, KERALA",Team 1904
1908,"Amity University, Jaipur",Team 1908
1911,"Lady Brabourne College, Kolkata",Team 1911
1922,"Presidency College, Bangalore",Team 1922
1926,Thiruvalluvar Government Arts College,Team 1926
1928,"ABES Engineering College,  Ghaziabad",Team 1928
1930,"B B S College Of Engineering & Technology,Allahabad",Team 1930
1931,"Jawaharlal Nehru Technological University ,Vizianagaram",Team 1931
1935,"Nirma University, Ahmedabad",Team 1935
1939,"National Institute of Technology, Calicut",Team 1939
1953,"Lakshmi Narain College of Technology & Science, Bhopal",Team 1953
1957,Kalinga Institute of Industrial Technology,Team 1957
1966,"Indian Institute of Technology, Mumbai",Team 1966
1970,Jaipur National University,Team 1970
1973,"Institute for Technology and Management (ITM), Mumbai",Team 1973
1988,"Nirma University, Ahmedabad",Team 1988
1994,"Indraprastha College for women, Delhi",Team 1994
1996,"Moti Lal Nehru college, Delhi",Team 1996
1997,"Indian Institute of Management, Lucknow",Team 1997
2013,Gateway Institute of Engineering and Technology,Team 2013
2021,"dhaneshwar rath institute of engg. and management studies,cuttack,odisha",Team 2021
2022,"Indian Institute of Technology, Kharagpur",Team 2022
2024,LNM Institute of Information Technology,Team 2024
2025,"Indian Institute of Technology, Kanpur",Team 2025
2031,"Madina Engineering College, Kadapa",Team 2031
2033,"Dronacharya College of Engineering, Gurgaon",Team 2033
2038,"Nirma University, Ahmedabad",Team 2038
2040,"Shri Ram Murti Women's College Of Engineering And Technology, Bareilly",Team 2040
2050,"Dr. D.Y. Patil Institute of Engineering and Technology, Pune",Team 2050
2051,"Indian Institute of Technology, Kharagpur",Team 2051
2055,KJ COLLEGE OF ENGINEERING &MANAGEMENT RESEARCH PUNE.,Team 2055
2062,"Banasthali Vidhyapith, Rajasthan",Team 2062
2064,"Indian Institute of Management, Rohtak",Team 2064
2071,MET Institute of Technology,Team 2071
2073,Kalinga Institute of Industrial Technology,Team 2073
2075,Central Institute of Plastics Engineering and Technology (CIPET),Team 2075
2077,Kalinga Institute of Industrial Technology,Team 2077
2079,"Vidya Academy Of Science and Technology, thrissur-Kerala",Team 2079
2081,Institute of Innovation in Technology and Management,Team 2081
2090,"Maulana Azad National Institute of Technology, Bhopal",Team 2090
2091,"Government Law College, Mumbai",Team 2091
2093,"Department of Management Studies (IIT Roorkee), Roorkee",Team 2093
2094,"Christ University Institute of Management (CUIM), Bangalore",Team 2094
2105,"Maulana Azad National Institute of Technology, Bhopal",Team 2105
2111,"Parul Institute of Technology, Gujarat",Team 2111
2117,C.U.Shah College Of Engineering & Technology,Team 2117
2121,Kalinga Institute of Industrial Technology,Team 2121
2126,"Ramanbhai Patel college of pharmacy, Changa-Gujarat",Team 2126
2127,"Indian Institute of Management, Ranchi",Team 2127
2128,Kalinga Institute of Industrial Technology,Team 2128
2129,Balaji Institute of Engineering Sciences,Team 2129
2130,"Indraprastha Institute of Information Technology, Delhi",Team 2130
2134,"Rajiv Gandhi Institute of Technology, Bangalore",Team 2134
2139,"Maulana Azad National Institute of Technology, Bhopal",Team 2139
2140,"Ramanbhai Patel college of pharmacy, Changa-Gujarat",Team 2140
2141,"Aryans Group of Colleges, Chandigarh",Team 2141
2144,"Prannath Parnami Institute of Management and Technology, Hisar",Team 2144
2145,"Anil Neerukonda Institute of Technology and Sciences, New Delhi",Team 2145
2146,"Prannath Parnami Institute of Management and Technology, Hisar",Team 2146
2149,"Indian Institute of Technology, Madras",Team 2149
2152,"Vellore Institute of Technology, Vellore",Team 2152
